address_key,customer_id,House_no_Name,Street,City,State,country,pin,phone,primary_email,secon_email,eff_start_date
-1723689093,1001,21D, Washford Close, Bordon,texas,USA,477270.0,412-691-6870,michaela.@gmail.com,michaela1@gmail.com,2022-01-01
-382961791,1002,72F,Private Road,Southwell,New York,USA,248452.0,412-691-6868,christopher.@yahoo.com,christopher1@yahoo.com,2022-01-01
-1549489323,1003,Hough Cottage, usha nagar, Chennai,Tamil Nadu,India,100175.0,412-691-6869,jessica.@ymail.com,jessica2@ymail.com,2022-03-05
-1672415189,1004,256C,Regent Park,Booth Drive,Jalisco,Mexico,531720.0,412-691-6870,manny.@apple.com,Manny_1@apple.com,2022-01-01
28903897,1005,Flat 2 72 Shaftesbury,country Road, Brighton,bahia,Brazil,443874.0,412-691-6871,pheoby.@mail.com,Pheoby_199@mail.com,2022-01-01
1250863121,1006,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,412-691-6872,allen.@yahoo.com,Allen_2@yahoo.com,2022-01-01
-1708399904,1007,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,412-691-6873,juhana.@gmail.com,juhana2@gmail.com,2022-01-01
-165482646,1008,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,412-691-6874,james.@ymail.com,james4@ymail.com,2022-01-01
105240448,1009,25HT,Millington Road,new Island,New York ,USA,611348.0,412-691-6875,hazel.@gmail.com,hazel1@gmail.com,2022-03-05
-955140376,1010,21D, Washford Close street, Bordon,texas,USA,477270.0,412-691-6876,robert.@ymail.com,robert2@ymail.com,2022-03-05
-382961791,1011,72F,Private Road,Southwell,New York,USA,248452.0,412-691-6892,laya_mar@gmail.com,laya_martin@gmail.com,2022-01-01
508750981,1012,Hough Cottage, Chandini Road, Chennai,Tamil Nadu,India,100175.0,412-691-6812,kevins123@ymail.com,kevin2@ymail.com,2022-01-01
-1672415189,1013,256C,Regent Park,Booth Drive,Jalisco,Mexico,531720.0,412-691-6813,Susan_Reese@ymail.com,Susan_Reese123@ymail.com,2022-01-01
-1011476264,1014,Flat 2 72 Saftesbury,country Road, Brighton,bahia,Brazil,443874.0,412-691-6814,Derrick_Mcdonald@ymail.com,Derrick_Mcdonald123@ymail.com,2022-03-05
1250863121,1015,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,412-691-6815,Cathy_Perez@ymail.com,Cathy_Perez123@ymail.com,2022-01-01
-1708399904,1016,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,412-691-6816,Robert_Larson@ymail.com,Robert_Larson123@ymail.com,2022-01-01
-165482646,1017,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,412-691-6817,Pamela_Gardner@ymail.com,Pamela_Gardner123@ymail.com,2022-01-01
1187330391,1018,,25HT,Millington Road,new Island,USA,,412-691-6818,Emily_Porter@ymail.com,Emily_Porter123@ymail.com,2022-01-01
-1723689093,1019,21D, Washford Close, Bordon,texas,USA,477270.0,412-691-6819,Nicole_Bruce@ymail.com,Nicole_Bruce123@ymail.com,2022-01-01
-382961791,1020,72F,Private Road,Southwell,New York,USA,248452.0,412-691-6820,Mr._Ralph_Montgomery@ymail.com,Mr._Ralph_Montgomery123@ymail.com,2022-01-01
1083890588,1021,Hough Cottage, Chandini Road, Coimbatore,Tamil Nadu,India,100175.0,412-691-6821,Candice_Thompson@ymail.com,Candice_Thompson123@ymail.com,2022-03-05
1636964681,1022,25C,Regent Park,Booth Drive,Jalisco,Mexico,531720.0,412-691-6822,Carl_Rowland@ymail.com,Carl_Rowland123@ymail.com,2022-03-05
28903897,1023,Flat 2 72 Shaftesbury,country Road, Brighton,bahia,Brazil,443874.0,412-691-6823,Ashley_Waters@ymail.com,Ashley_Waters123@ymail.com,2022-01-01
1250863121,1024,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,412-691-6824,Alyssa_Johnson@ymail.com,Alyssa_Johnson123@ymail.com,2022-01-01
-1708399904,1025,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,412-691-6825,David_Hernandez@ymail.com,David_Hernandez123@ymail.com,2022-01-01
-165482646,1026,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,412-691-6826,Frank_Gilbert@ymail.com,Frank_Gilbert123@ymail.com,2022-01-01
1187330391,1027,,25HT,Millington Road,new Island,USA,,412-691-6827,Kathy_Humphrey@ymail.com,Kathy_Humphrey123@ymail.com,2022-01-01
984529753,1028,79A, Clarendon Court, Golden Lane,new delhi,India,573336.0,412-691-6828,Stephanie_Washington@ymail.com,Stephanie_Washington123@ymail.com,2022-03-05
1187330391,1029,,25HT,Millington Road,new Island,USA,,412-691-6829,Cory_Day_Jr.@ymail.com,Cory_Day_Jr.123@ymail.com,2022-01-01
-839612473,1030,125j,Hospital Lane, chennai,tamil nadu,India,123722.0,412-691-6830,Devin_Duncan@ymail.com,Devin_Duncan123@ymail.com,2022-01-01
-165482646,1031,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,412-691-6831,Jodi_Nelson@ymail.com,Jodi_Nelson123@ymail.com,2022-01-01
1187330391,1032,,25HT,Millington Road,new Island,USA,,412-691-6832,Debra_Jackson@ymail.com,Debra_Jackson123@ymail.com,2022-01-01
-1723689093,1033,21D, Washford Close, Bordon,texas,USA,477270.0,412-691-6833,Joshua_Adams@ymail.com,Joshua_Adams123@ymail.com,2022-01-01
-382961791,1034,72F,Private Road,Southwell,New York,USA,248452.0,412-691-6834,Jessica_Lee@ymail.com,Jessica_Lee123@ymail.com,2022-01-01
