cust_key,customer_id,addr_key,credit_score,customer_risk_rating,pep,sanctions_screening,employer,gender,date_of_birth,tenure,balance,num_of_products,has_card,has_online_banking,yearly_income,segment,customer_name,date_incorporation_key,aquisition_date_key,eff_start_date,eff_end_date,transaction_risk
-396384284,1001,-1723689093,750,low,1,0,google,f,,1.0,10000.0,3,1,1,100000.0,High Risk Fin Corp,Lidiya Martin,122327,122384,2022-05-04,,Interest Rate Risk
1048811874,1002,-382961791,535,medium,0,1,accenture,m,,5.0,20000.0,2,1,1,100001.0,High Risk Fin Corp,Christopher Stone,122456,122393,2022-05-04,,Interest Rate Risk
864281936,1003,-1549489323,695,low,1,1,google,f,,9.0,5000.0,4,1,1,100002.0,High Risk Fin Corp,Jessica Stark,122479,122237,2022-05-04,,Foreign Exchange Risk
556136777,1004,-1672415189,330,high,0,1,space x,f,,3.0,2000.0,1,1,1,100003.0,High Risk Fin Corp,Manny Grey,122383,122384,2022-05-04,,Foreign Exchange Risk
207644007,1005,28903897,487,medium,1,1,gucci,f,,5.0,12000.0,2,1,1,100004.0,High Risk Fin Corp,Pheoby Buffaey,122437,122308,2022-05-04,,Foreign Exchange Risk
-1494686683,1006,1250863121,756,low,0,0,facebook,m,,12.0,15000.0,2,1,1,100005.0,High Risk Fin Corp,Allen Johnson,122312,122252,2022-05-04,,Interest Rate Risk
-1391764478,1007,-1708399904,735,low,1,1,google,f,,4.0,50000.0,4,0,1,100006.0,High Risk Fin Corp,Juhana Valdemiski,122502,122392,2022-05-04,,Foreign Exchange Risk
1378281443,1008,-165482646,397,high,0,0,walmart,m,,2.0,16000.0,1,1,1,100007.0,High Risk Fin Corp,James Nolden,122403,122359,2022-05-04,,Interest Rate Risk
1838197,1009,105240448,750,low,1,0,yokogawa,f,,3.0,17500.0,1,1,1,100008.0,High Risk Fin Corp,Hazel Ron,122307,122466,2022-05-04,,Interest Rate Risk
1915089867,1010,-955140376,535,medium,1,1,tesla,f,,1.0,10000.0,3,1,1,100000.0,High Risk Fin Corp,Robert Downy Jr,122327,122545,2022-05-04,,Foreign Exchange Risk
-396384284,1001,-1723689093,750,low,1,0,google,f,1980-12-25,,10000.0,3,1,1,100000.0,High Risk Fin Corp,Michaela,122327,122327,2022-05-04,2022-05-04,Interest Rate Risk
1048811874,1002,-382961791,535,medium,0,1,accenture,m,1988-11-30,,20000.0,2,1,1,100001.0,High Risk Fin Corp,Christopher,122456,122456,2022-05-04,2022-05-04,Interest Rate Risk
864281936,1003,-1549489323,695,low,1,1,tesla,f,1997-07-22,,5000.0,4,1,1,100002.0,High Risk Fin Corp,Jessica,122479,122479,2022-05-04,2022-05-04,Foreign Exchange Risk
556136777,1004,-1672415189,330,high,0,1,space x,f,1990-08-16,,2000.0,1,1,1,100003.0,High Risk Fin Corp,manny,122383,122383,2022-05-04,2022-05-04,Foreign Exchange Risk
207644007,1005,28903897,487,medium,1,1,gucci,f,1988-01-02,,12000.0,2,1,1,100004.0,High Risk Fin Corp,pheoby,122437,122437,2022-05-04,2022-05-04,Foreign Exchange Risk
-1494686683,1006,1250863121,756,low,0,0,facebook,m,1975-04-17,,15000.0,2,1,1,100005.0,High Risk Fin Corp,allen,122312,122312,2022-05-04,2022-05-04,Interest Rate Risk
-1391764478,1007,-1708399904,735,low,1,1,google,f,1986-05-05,,50000.0,4,0,1,100006.0,High Risk Fin Corp,juhana,122502,122502,2022-05-04,2022-05-04,Foreign Exchange Risk
